height_mm,rainfall_mm_per_h,speed_mm_per_min,time_to_recede_min
249.82,19.68,-2.73,-1.0
480.29,23.67,-4.49,-1.0
392.8,42.73,-1.34,-1.0
339.46,17.0,-3.16,-1.0
162.41,43.48,2.04,79.42
162.4,4.41,0.27,602.94
123.23,38.84,0.9,137.53
446.47,42.38,-2.88,-1.0
340.45,9.09,-0.25,-1.0
383.23,21.52,-0.66,-1.0
108.23,8.27,1.42,76.21
487.96,35.33,-2.03,-1.0
432.98,26.77,-2.65,-1.0
184.94,31.77,0.96,191.85
172.73,9.82,-0.23,-1.0
173.36,10.59,0.27,642.72
221.7,2.07,-0.63,-1.0
309.9,16.1,-1.78,-1.0
272.78,27.99,-1.76,-1.0
216.49,42.9,0.54,403.44
344.74,33.35,0.52,664.89
155.8,21.77,2.2,70.86
216.86,47.66,-2.05,-1.0
246.54,35.96,1.47,167.91
282.43,46.51,-1.3,-1.0
414.07,26.38,-1.24,-1.0
179.87,12.95,-1.16,-1.0
305.69,2.64,-0.84,-1.0
336.97,36.3,-0.9,-1.0
118.58,6.07,-1.41,-1.0
343.02,15.14,-0.52,-1.0
168.21,26.62,2.34,71.98
126.02,28.22,0.48,263.74
479.55,30.03,-0.76,-1.0
486.25,8.31,-3.15,-1.0
423.36,18.99,-0.96,-1.0
221.85,30.86,-3.55,-1.0
139.07,48.49,4.24,32.82
373.69,36.38,0.51,738.15
276.06,46.13,-1.19,-1.0
148.82,38.11,-2.45,-1.0
298.07,29.59,-0.55,-1.0
113.76,9.6,-1.3,-1.0
463.73,33.33,-1.97,-1.0
203.51,31.17,0.58,349.54
365.01,30.12,-3.06,-1.0
224.68,24.49,1.43,156.62
308.03,26.43,0.13,2404.77
318.68,16.72,0.28,1150.93
173.94,25.97,0.27,635.13
487.83,9.88,-5.0,-1.0
410.05,40.26,-0.63,-1.0
475.8,9.29,-3.16,-1.0
457.93,4.25,-4.66,-1.0
339.16,21.81,0.64,532.89
468.75,32.92,0.46,1015.46
135.4,21.89,0.58,231.78
178.39,13.84,3.45,51.64
118.09,27.91,0.96,123.52
230.13,17.35,-0.87,-1.0
255.47,46.64,-1.5,-1.0
208.54,46.13,2.37,87.98
431.5,25.12,-3.49,-1.0
242.7,16.39,0.68,359.08
212.37,36.86,-0.96,-1.0
317.08,1.84,-1.86,-1.0
156.37,23.74,1.98,78.91
420.88,16.82,-2.78,-1.0
129.82,46.03,0.09,1372.24
494.75,0.6,-1.25,-1.0
408.9,27.64,0.31,1331.41
179.49,37.03,1.17,153.12
102.21,24.25,-0.0,-1.0
426.18,4.27,-3.03,-1.0
382.74,48.62,-1.71,-1.0
391.6,25.9,-1.43,-1.0
408.51,30.71,-3.57,-1.0
129.62,11.83,1.79,72.48
243.39,24.17,-0.31,-1.0
146.35,21.46,-2.04,-1.0
445.24,3.74,-3.85,-1.0
349.32,5.31,-2.25,-1.0
232.36,41.87,-0.43,-1.0
125.42,11.99,3.58,35.04
224.39,9.75,0.11,1980.04
230.07,25.25,-1.56,-1.0
391.84,38.44,-1.59,-1.0
355.02,3.1,-2.08,-1.0
454.89,28.84,-2.06,-1.0
288.89,5.96,-0.02,-1.0
147.84,1.82,2.34,63.3
385.3,2.64,-1.89,-1.0
404.31,41.71,0.42,973.55
324.51,5.9,0.12,2775.37
408.39,2.26,-3.15,-1.0
297.52,21.89,2.34,127.17
309.09,42.2,-0.6,-1.0
271.02,13.12,-1.96,-1.0
110.17,21.09,3.38,32.62
143.16,2.0,3.69,38.85
112.57,22.45,0.82,136.49
354.56,28.88,-2.3,-1.0
225.74,28.55,-0.52,-1.0
303.43,16.62,0.04,8024.06
463.03,15.78,-0.71,-1.0
199.72,5.33,0.86,232.62
264.15,18.34,-0.49,-1.0
402.22,4.97,0.22,1789.13
191.52,38.33,-0.38,-1.0
130.79,48.31,2.24,58.43
215.9,48.5,-0.59,-1.0
164.49,43.25,1.0,164.22
471.88,30.04,-2.89,-1.0
423.25,35.04,-2.32,-1.0
353.36,14.26,-2.1,-1.0
448.58,31.54,-0.47,-1.0
421.47,22.78,-3.31,-1.0
174.63,24.1,-0.86,-1.0
457.02,37.89,0.61,747.68
315.74,14.1,0.31,1020.47
422.98,15.9,-5.0,-1.0
458.44,46.23,-3.43,-1.0
227.2,2.81,-2.99,-1.0
144.02,24.28,-0.87,-1.0
191.17,45.64,-4.62,-1.0
270.84,30.52,-0.91,-1.0
427.21,27.32,-3.98,-1.0
444.29,12.49,-2.35,-1.0
102.78,17.16,-1.47,-1.0
304.3,42.6,-0.92,-1.0
266.96,27.96,-1.29,-1.0
188.84,25.74,2.36,79.87
147.95,4.98,2.64,56.09
235.05,0.8,0.83,284.02
477.16,48.18,-3.26,-1.0
229.28,18.85,2.69,85.39
307.52,30.16,-3.4,-1.0
381.21,3.99,-3.92,-1.0
245.45,34.16,-0.58,-1.0
488.71,46.63,0.49,989.44
484.98,28.78,-3.15,-1.0
200.71,6.31,-0.28,-1.0
298.9,29.09,-3.15,-1.0
220.35,38.32,1.22,181.3
213.94,20.32,1.29,165.79
114.75,43.99,2.04,56.36
343.83,32.43,-2.38,-1.0
301.07,44.96,-2.07,-1.0
120.59,31.18,-1.15,-1.0
211.46,6.56,0.01,18841.71
463.31,15.48,-4.25,-1.0
195.82,10.09,-1.72,-1.0
157.96,45.44,-0.22,-1.0
295.78,38.02,-1.69,-1.0
494.26,33.82,-3.75,-1.0
196.82,15.05,0.73,269.09
368.85,9.2,-1.57,-1.0
404.65,37.82,-2.48,-1.0
195.06,23.71,0.32,602.08
391.29,11.29,-3.4,-1.0
247.11,30.83,-0.31,-1.0
352.92,2.02,-1.3,-1.0
353.41,16.31,-3.79,-1.0
314.31,23.43,0.35,896.9
136.12,7.4,-0.68,-1.0
434.12,49.23,-2.21,-1.0
228.31,10.45,1.46,156.0
174.61,6.52,1.64,106.31
116.31,10.18,0.89,130.92
336.36,38.45,-1.91,-1.0
371.03,21.28,-0.29,-1.0
106.64,28.27,1.95,54.81
304.84,1.05,-1.98,-1.0
190.6,1.72,-1.1,-1.0
358.07,22.29,-4.69,-1.0
169.75,40.83,0.53,318.13
376.38,44.26,-1.89,-1.0
254.69,4.34,1.16,220.07
474.69,26.92,-2.21,-1.0
155.01,45.66,2.45,63.24
236.43,19.4,-1.41,-1.0
145.39,41.48,2.25,64.52
469.88,6.68,-3.49,-1.0
450.94,46.77,-1.34,-1.0
203.18,37.57,-2.22,-1.0
363.99,47.07,-1.29,-1.0
426.89,33.83,-5.0,-1.0
322.08,18.17,-1.62,-1.0
311.86,46.91,-0.46,-1.0
196.74,13.78,-0.75,-1.0
137.24,16.61,-0.95,-1.0
458.89,35.04,-1.32,-1.0
460.17,38.27,-2.76,-1.0
353.24,46.47,-2.27,-1.0
235.61,10.24,-0.29,-1.0
239.68,39.9,3.56,67.36
390.38,36.93,-0.17,-1.0
458.84,3.19,-0.84,-1.0
454.83,19.36,-1.9,-1.0
411.95,14.14,-1.87,-1.0
356.81,15.22,-5.0,-1.0
133.66,49.15,-0.36,-1.0
164.65,32.14,-0.37,-1.0
459.42,35.88,-5.0,-1.0
342.57,48.83,-3.16,-1.0
103.68,18.86,-2.01,-1.0
140.59,40.09,0.54,261.99
365.4,21.73,-0.43,-1.0
102.02,43.48,2.64,38.65
164.32,9.03,0.98,167.86
319.49,47.38,-2.64,-1.0
376.76,10.94,-4.67,-1.0
360.78,16.31,-4.24,-1.0
189.71,37.81,-1.8,-1.0
384.87,19.69,-3.18,-1.0
194.9,30.41,-0.19,-1.0
230.16,22.23,-1.82,-1.0
398.6,37.12,-1.48,-1.0
359.85,11.42,-1.95,-1.0
439.69,2.92,-2.38,-1.0
363.05,15.0,0.08,4542.36
327.32,23.72,-3.04,-1.0
137.47,8.4,1.25,109.68
247.09,17.74,-0.49,-1.0
206.08,20.0,-0.56,-1.0
197.6,2.87,1.35,146.16
489.2,29.17,-1.57,-1.0
257.24,44.22,-1.99,-1.0
456.82,7.59,-2.84,-1.0
352.46,29.89,-1.1,-1.0
