height_mm,rainfall_mm_per_h,speed_mm_per_min,time_to_recede_min
157.62,37.45,7.29,272.51
154.66,27.93,8.78,218.08
20.44,39.72,7.61,86.43
166.99,52.85,10.44,239.2
273.28,26.49,14.79,224.52
72.58,26.49,6.92,144.67
304.85,53.69,14.0,298.23
248.78,41.51,6.87,424.21
126.58,22.96,6.61,225.94
185.85,38.14,13.27,197.21
359.83,23.05,13.69,297.46
273.35,23.01,13.41,238.43
200.88,33.63,4.74,474.52
176.23,1.3,8.14,218.55
207.66,4.13,13.29,162.42
148.82,21.57,10.17,178.74
10.0,14.81,5.71,39.74
404.22,34.71,11.83,393.66
215.53,16.38,7.14,326.4
239.81,8.82,17.18,152.83
194.21,51.98,16.18,198.01
126.49,26.61,12.42,141.79
181.41,31.01,15.44,163.98
40.06,8.63,10.26,51.99
427.71,21.83,13.06,360.2
76.55,31.66,15.91,95.61
96.8,12.74,10.98,107.25
155.97,35.64,8.98,227.16
328.81,20.99,3.18,1064.98
201.45,25.62,9.67,246.82
76.39,20.97,13.29,88.92
325.43,57.78,13.78,322.8
273.1,29.8,12.02,271.95
253.84,14.13,7.83,345.2
271.57,42.34,2.09,1361.22
439.44,11.69,8.02,565.52
418.51,33.13,8.78,526.22
131.33,0.6,8.75,151.03
362.39,10.08,12.47,305.63
238.32,32.95,17.94,182.25
249.91,41.08,10.49,299.76
30.77,32.57,9.13,82.55
182.96,28.27,8.96,246.53
118.72,25.48,10.5,151.32
282.81,7.82,6.69,434.66
307.11,19.2,10.48,321.82
10.0,23.09,11.8,43.11
197.8,45.86,10.84,251.28
312.19,35.15,11.83,316.62
181.33,3.55,11.73,159.85
272.91,34.86,2.91,989.34
235.12,24.22,12.55,223.72
234.17,19.85,7.32,349.85
172.87,39.18,5.62,366.54
78.34,45.46,5.58,208.54
87.85,43.97,11.73,140.82
270.94,17.41,9.11,323.53
201.95,25.36,3.27,655.21
186.15,34.97,11.91,208.72
157.61,44.63,4.24,438.54
169.48,22.81,10.56,194.72
304.69,27.22,10.95,318.98
166.48,13.4,13.54,143.04
65.89,12.06,17.13,56.56
274.37,42.19,4.54,667.44
179.51,50.34,9.79,258.88
203.14,28.92,8.89,271.76
360.76,45.05,11.73,375.0
197.94,35.42,10.86,235.36
228.92,20.32,8.59,296.98
82.11,35.42,8.24,152.82
178.03,53.07,5.53,401.3
260.95,29.46,13.95,231.24
44.46,53.47,11.84,117.77
220.08,0.0,13.67,160.99
210.08,42.33,8.76,303.35
204.13,31.31,7.37,323.83
303.72,25.51,5.69,572.35
233.44,31.38,11.44,251.2
347.81,0.19,5.84,595.76
100.64,26.7,17.39,97.91
213.59,35.36,4.77,500.87
208.45,52.17,11.09,266.13
93.07,22.23,16.27,90.55
295.63,17.87,12.4,265.29
432.47,22.47,10.7,437.78
198.3,43.73,6.13,389.29
250.5,34.93,4.47,612.44
208.45,22.05,13.08,192.44
128.64,37.7,16.02,136.83
17.92,31.46,8.24,68.92
129.42,44.53,5.44,304.54
60.8,19.47,1.0,637.25
370.41,25.09,6.08,647.16
188.49,24.12,9.55,233.64
165.41,8.05,16.4,112.95
288.92,34.44,12.69,279.29
87.82,33.92,11.22,129.15
123.31,30.08,8.4,191.93
206.81,26.48,7.67,309.45
302.88,8.77,15.62,207.03
250.17,23.69,10.8,267.11
224.83,24.86,1.59,1451.69
207.81,17.97,7.31,311.39
240.02,27.58,6.57,406.86
220.17,36.06,7.81,335.81
97.0,58.29,12.25,166.61
204.61,32.62,9.57,262.72
92.63,33.86,9.69,146.36
208.11,28.88,15.25,179.75
151.94,1.22,7.21,212.43
453.94,29.6,17.46,304.44
196.01,30.9,7.31,314.32
59.58,66.95,10.36,157.95
186.58,27.11,8.88,250.9
251.94,34.52,10.49,291.87
367.34,29.48,11.78,356.09
141.05,12.47,11.74,138.9
41.76,47.14,6.99,130.47
281.68,41.28,5.51,573.3
